config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,trie_updates_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
bt-gd5-flat,bintrie,5,4,erc20_balanceof,1,11003,502136,12,0.52,0.6749,6.4992,0.9884,9.1203,55.0573,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,1,11004,33333332,2,326.1531,617.8656,1.6293,15.4842,961.5021,34.668,10,12228,3,1491,3,0,0,0,0,0,2,8,20,6533,5695,53.43,3,0,100,1491,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,1,11005,49999998,3,418.3862,772.3374,0.822,25.8674,1217.8748,41.0551,12,18342,4,1566,4,0,0,0,0,0,5,7,41.67,12609,5733,68.74,4,0,100,1566,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,1,11006,16666670,1,180.5386,434.2444,1.4324,8.5355,625.1386,26.6608,8,6114,2,1418,2,0,0,0,0,0,4,4,50,820,5294,13.41,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,2,11007,0,0,0.0215,0.1182,0.0046,0.2624,0.7203,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,2,11008,502136,12,0.335,0.4992,7.3173,0.6297,9.1337,54.976,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,2,11009,83333330,5,768.5573,1242.9297,0.3583,43.79,2055.9646,40.5325,16,30570,6,1713,6,0,0,0,0,0,11,5,68.75,24845,5725,81.27,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,2,11010,16666670,1,158.4466,424.4519,1.921,9.7745,595.2258,28.0006,8,6114,2,1418,2,0,0,0,0,0,3,5,37.5,925,5189,15.13,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,3,11011,502136,12,0.3957,0.8476,8.0299,0.9255,10.6736,47.0448,41,0,0,0,13,0,0,0,6,443,32,9,78.05,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,3,11012,83333330,5,692.5301,1035.7212,1.3293,23.9604,1753.9103,47.5129,16,30570,6,1713,6,0,0,0,0,0,8,8,50,24518,6052,80.2,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,3,11013,16666670,1,181.6655,440.9152,1.5546,6.281,630.7809,26.4223,8,6114,2,1418,2,0,0,0,0,0,4,4,50,807,5307,13.2,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,4,11014,502136,12,0.3042,0.9746,6.3509,0.813,8.9516,56.0943,41,0,0,0,13,0,0,0,6,443,32,9,78.05,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,4,11015,83333330,5,808.121,1227.8597,1.7083,41.4527,2079.5771,40.0722,16,30570,6,1713,6,0,0,0,0,0,9,7,56.25,24745,5825,80.95,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,4,11016,16666670,1,193.5641,484.4113,2.0412,7.18,687.7352,24.2341,8,6114,2,1418,2,0,0,0,0,0,3,5,37.5,1091,5023,17.84,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,5,11017,502136,12,0.4208,0.7132,7.2798,2.0925,10.877,46.1649,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,5,11018,83333330,5,724.1519,1168.2463,1.4399,46.6515,1940.9692,42.9339,16,30570,6,1713,6,0,0,0,0,0,10,6,62.5,24681,5889,80.74,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,5,11019,16666670,1,157.1375,469.3785,2.3667,10.5891,639.9145,26.0452,8,6114,2,1418,2,0,0,0,0,0,4,4,50,650,5464,10.63,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,6,11020,502136,12,0.3928,0.6021,5.5967,0.9522,8.0316,62.52,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,6,11021,83333330,5,741.991,1057.026,2.0369,47.6082,1849.1195,45.0665,16,30570,6,1713,6,0,0,0,0,0,11,5,68.75,24694,5876,80.78,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,6,11022,16666670,1,185.9483,535.5197,2.3952,9.9123,734.343,22.696,8,6114,2,1418,2,0,0,0,0,0,3,5,37.5,690,5424,11.29,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,7,11023,502136,12,0.3163,0.6419,7.7102,0.9404,9.9656,50.3867,41,0,0,0,13,0,0,0,6,443,26,15,63.41,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,7,11024,83333330,5,761.6194,1118.2413,0.7527,55.2184,1936.2539,43.0384,16,30570,6,1713,6,0,0,0,0,0,11,5,68.75,24919,5651,81.51,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,7,11025,16666670,1,169.918,445.0633,1.4277,4.7986,621.5645,26.8141,8,6114,2,1418,2,0,0,0,0,0,3,5,37.5,629,5485,10.29,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,8,11026,502136,12,0.1872,0.5061,6.5984,0.8625,8.4715,59.2733,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,8,11027,83333330,5,812.9086,1210.7818,2.0152,36.2694,2062.3923,40.4061,16,30570,6,1713,6,0,0,0,0,0,12,4,75,24977,5593,81.7,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,8,11028,16666670,1,192.6421,534.5546,1.3917,7.2247,736.1876,22.6392,8,6114,2,1418,2,0,0,0,0,0,4,4,50,671,5443,10.97,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,9,11029,502136,12,0.5643,0.8368,7.1031,1.0056,9.8648,50.902,41,0,0,0,13,0,0,0,6,443,29,12,70.73,0,0,0,0,0,0,0,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,9,11030,83333330,5,808.3925,1213.1664,1.6456,47.1012,2070.8586,40.241,16,30570,6,1713,6,0,0,0,0,0,9,7,56.25,24938,5632,81.58,6,0,100,1713,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,9,11031,16666670,1,179.4942,466.1101,1.8744,10.1565,658.1561,25.3233,8,6114,2,1418,2,0,0,0,0,0,3,5,37.5,807,5307,13.2,2,0,100,1418,0
bt-gd5-flat,bintrie,5,4,erc20_balanceof,10,11032,502136,12,0.3068,0.8446,4.982,0.7927,7.4092,67.7719,41,0,0,0,13,0,0,0,6,443,31,10,75.61,0,0,0,0,0,0,0,0
