config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,erc20_balanceof,1,63994,0,0,0.0293,1.051,0.0111,0.1207,1.3065,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,1,63995,89662,2,0.1363,0.0912,0.8041,4.1258,5.2041,17.2292,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,1,63996,100000000,1,272.916,4705.3085,0.0946,34.1391,5012.5489,19.9499,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2071,34671,5.64,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,2,63997,0,0,0.0317,0.2008,0.0091,0.1668,0.5054,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,2,63998,89662,2,0.1155,0.2044,1.1873,4.7722,6.348,14.1243,11,0,0,0,3,0,0,0,1,72,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,2,63999,100000000,1,288.7783,4802.5855,0.0735,28.9156,5120.4134,19.5297,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2209,34533,6.01,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,3,64000,89662,2,0.0781,0.8272,0.1206,3.6427,4.7242,18.9791,11,0,0,0,3,0,0,0,1,72,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,3,64001,100000000,1,283.8396,5093.3423,0.059,24.6466,5402.0136,18.5116,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2062,34680,5.61,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,4,64002,0,0,0.0175,1.3384,0.0086,0.1468,1.5827,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,4,64003,89662,2,0.0453,0.0819,0.4756,5.9153,6.5442,13.701,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,4,64004,100000000,1,282.112,5061.1015,0.0643,28.0958,5371.4373,18.617,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2303,34439,6.27,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,5,64005,89662,2,0.052,0.0942,0.3447,3.9243,4.4643,20.0843,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,5,64006,100000000,1,270.9308,4961.1868,0.0732,37.1783,5269.4682,18.9772,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,3288,33454,8.95,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,6,64007,89662,2,0.0564,0.1354,1.0063,5.7909,7.0469,12.7237,11,0,0,0,3,0,0,0,1,72,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,6,64008,100000000,1,254.0128,5072.8318,0.0663,27.2444,5354.2392,18.6768,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2512,34230,6.84,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,7,64009,0,0,0.0247,0.123,0.0087,0.11,0.3483,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,7,64010,89662,2,0.1258,0.2336,0.2408,6.0872,6.7768,13.2307,11,0,0,0,3,0,0,0,1,72,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,7,64011,100000000,1,267.8406,4819.4869,0.0444,28.0806,5115.5539,19.5482,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2101,34641,5.72,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,8,64012,0,0,0.0151,0.1151,0.026,0.1138,0.3298,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
